daydec,Direct Beam,DirectHz,GlobalHz,DifHz
268.520833333333,937.660746197173,834.235198141866,947.512289676832,113.277091534967
268.5625,921.089796484818,755.455231234537,865.627281738408,110.172050503872
268.604166666667,884.942951761412,614.58646160134,718.540975274492,103.954513673152
268.645833333333,815.226333417043,424.908434691801,518.319180381832,93.4107456900314
268.6875,668.632078125434,208.714600502693,282.880379188758,74.1657786860658
268.729166666667,260.877534533051,21.2743284438405,44.1167546579198,22.8424262140793
268.770833333333,0,0,0,0
268.8125,0,0,0,0
268.854166666667,0,0,0,0
268.895833333333,0,0,0,0
268.9375,0,0,0,0
268.979166666667,0,0,0,0
269.020833333333,0,0,0,0
269.0625,0,0,0,0
269.104166666667,0,0,0,0
269.145833333333,0,0,0,0
269.1875,0,0,0,0
269.229166666667,0,0,0,0
269.270833333333,423.120486866615,61.5991898559658,105.269322068809,43.6701322128432
269.3125,721.77348925055,268.205136196761,349.088236472018,80.8831002752572
269.354166666667,839.238643665862,479.88937810066,576.753471023072,96.8640929224124
269.395833333333,897.409557709152,657.4495971711,763.4475954594,105.9979982883
269.4375,927.300112200422,781.72622309941,893.005029491669,111.278806392259
269.479166666667,939.498485913629,841.32674448145,954.920199682906,113.593455201456
269.520833333333,937.486992391749,831.091600870709,944.296040235775,113.204439365066
269.5625,920.721819136761,751.896061784958,861.968201100073,110.072139315116
269.604166666667,884.195501015,610.670242939079,714.479626089071,103.809383149992
269.645833333333,813.656911731959,420.770532178359,513.946664677524,93.1761324991658
269.6875,664.777962129921,204.695454912825,278.374119835648,73.6786649228234
269.729166666667,248.593610662085,19.2038509249883,40.4420520096626,21.2382010846744
269.770833333333,0,0,0,0
269.8125,0,0,0,0
269.854166666667,0,0,0,0
269.895833333333,0,0,0,0
269.9375,0,0,0,0
269.979166666667,0,0,0,0
270.020833333333,0,0,0,0
270.0625,0,0,0,0
270.104166666667,0,0,0,0
270.145833333333,0,0,0,0
270.1875,0,0,0,0
270.229166666667,0,0,0,0
270.270833333333,420.100168225748,60.5277187335058,103.811002478802,43.2832837452961
270.3125,720.884415150635,266.690579526497,347.452836603913,80.7622570774157
270.354166666667,838.911831049686,478.137623131146,574.93806707104,96.8004439398941
270.395833333333,897.27899859533,655.418768858581,761.368501566023,105.949732707442
270.4375,927.229022783021,779.351108767552,890.581554068917,111.230445301365
270.479166666667,939.406965336882,838.555563157582,952.091446259172,113.53588310159
270.520833333333,937.301235572043,827.900209042152,941.029920822801,113.129711780649
270.5625,920.340209536526,748.297514395297,858.267650691862,109.970136296565
270.604166666667,883.430032961914,606.726197308892,710.388108962126,103.661911653234
270.645833333333,812.057233408482,416.619536492409,509.557635890361,92.9380993979518
270.6875,660.84671162931,200.68508000144,273.867709878867,73.1826298774268
270.729166666667,236.205803858017,17.2341174174592,36.8549556754628,19.6208382580036
270.770833333333,0,0,0,0
270.8125,0,0,0,0
270.854166666667,0,0,0,0
270.895833333333,0,0,0,0
270.9375,0,0,0,0
270.979166666667,0,0,0,0
271.020833333333,0,0,0,0
271.0625,0,0,0,0
271.104166666667,0,0,0,0
271.145833333333,0,0,0,0
271.1875,0,0,0,0
271.229166666667,0,0,0,0
271.270833333333,416.99944925554,59.4439819173693,102.329924679822,42.8859427624526
271.3125,719.960796968893,265.142215103129,345.779320746343,80.6371056432134
271.354166666667,838.564015453599,476.341069612935,573.074903175886,96.7338335629511
271.395833333333,897.132870225348,653.336679917425,759.23564200785,105.898962090426
271.4375,927.144908710402,776.922347050706,888.102145015359,111.179797964654
271.479166666667,939.303461832605,835.732354441684,949.208515469594,113.47616102791
271.520833333333,937.103383278533,824.66224142419,937.71516217105,113.05292074686
271.5625,919.944981133186,744.661328550631,854.527402075539,109.866073524908
271.604166666667,882.64670818299,602.75651649457,706.268670311462,103.512153816892
271.645833333333,810.427674192271,412.457981843386,505.154706855146,92.6967250117601
271.6875,656.838797018504,196.686279962108,269.364002820405,72.6777228582967
271.729166666667,223.752017498126,15.3692297997702,33.3658864942478,17.9966566944776
271.770833333333,0,0,0,0
271.8125,0,0,0,0
271.854166666667,0,0,0,0
271.895833333333,0,0,0,0
271.9375,0,0,0,0
271.979166666667,0,0,0,0
272.020833333333,0,0,0,0
272.0625,0,0,0,0
272.104166666667,0,0,0,0
272.145833333333,0,0,0,0
272.1875,0,0,0,0
272.229166666667,0,0,0,0
272.270833333333,413.814729434732,58.3476900831204,100.825320452735,42.4776303696141
272.3125,719.001311788487,263.559308360869,344.066796292837,80.5074879319685
272.354166666667,838.1945299417,474.499139198996,571.16332101433,96.6641818153334
272.395833333333,896.970761240003,651.203097323126,757.048737020794,105.845639697668
272.4375,927.047497438112,774.44016178756,885.567001929292,111.126840141732
272.479166666667,939.187802512692,832.857862394158,946.272146631263,113.414284237105
272.520833333333,936.893355728626,821.378980401689,934.353061061058,112.974080659369
272.5625,919.536164180882,740.989297542224,850.749283288416,109.759985746192
272.604166666667,881.845713064558,598.763432029924,702.123599619203,103.360167589279
272.645833333333,808.768658871303,408.288423282283,500.740516552808,92.4520932705249
272.6875,652.754820641144,192.701851868223,264.865858122792,72.1640062545688
272.729166666667,211.275926258191,13.6128750280726,29.9859379956461,16.3730629675735
272.770833333333,0,0,0,0
272.8125,0,0,0,0
272.854166666667,0,0,0,0
272.895833333333,0,0,0,0
272.9375,0,0,0,0
272.979166666667,0,0,0,0
273.020833333333,0,0,0,0
273.0625,0,0,0,0
273.104166666667,0,0,0,0
273.145833333333,0,0,0,0
273.1875,0,0,0,0
273.229166666667,0,0,0,0
273.270833333333,410.542384716548,57.2386106178791,99.2964733175008,42.0578626996217
273.3125,718.004636749175,261.941176603856,342.314423021885,80.3732464180286
273.354166666667,837.802715834264,472.61131474375,569.202725344404,96.5914106006542
273.395833333333,896.792269871234,649.017856215417,754.807577192769,105.789720977352
273.4375,926.936526574359,771.904847822011,882.976397718321,111.07154989631
273.479166666667,939.059825619123,829.932900349792,943.28315070952,113.350250359728
273.520833333333,936.671086297346,818.05177130328,930.944979684648,112.893208381368
273.5625,919.113806263638,737.283266896802,846.935177297762,109.65191040096
273.604166666667,881.027260544753,594.749212805522,697.955227072501,103.206014266979
273.645833333333,807.080662960002,404.113433536601,496.317727075775,92.2042935391741
273.6875,648.595524404206,188.734581164481,260.376137606389,71.6415564419075
